gade,postnr,beholder,antal
Bakketoppen  10,6000,"240 l. beh, madaffald",1
Bakketoppen  10,6000,"400 l. con, restaffald",1
Bakketoppen  10,6000,"660 l. con, restaffald",1
Bjerggade  6,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  8,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  10,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  12,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  14,6000,"2-delt 370 l. beh, r/m-sætte f",1
Bjerggade  16,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  18,6000,"2-delt 240 l. beh, rest/mad",2
Bjerggade  20,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  22,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  24,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  26,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  28,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  30,6000,"2-delt 240 l. beh, rest/mad",1
Bjerggade  32,6000,"2-delt 240 l. beh, r/m-sætte f",1
Bjerggade  38,6000,"2-delt 240 l. beh, r/m-sætte f",1
Borchs gård  7,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  7,6000,240 l Mr. Fill rest - intillegent,3
Borchs gård  39,6000,240 l Mr. Fill mad - intillegent,1
Borchs gård  39,6000,240 l Mr. Fill rest - intillegent,5
Fjordvej  105,6000,"2-delt 370 l. beh, rest/mad",1
Fredens Vej  2,6000,"2-delt 240 l. beh, rest/mad",1
Gl. Strandvej  17,6000,"400 l. con, madaffald",1
Gl. Strandvej  17,6000,"660 l. con, restaffald",2
Gramrolighed  1,6000,"2-delt 240 l. beh, r/m-sætte f",1
Gramrolighed  2,6000,"400 l. con, mad - sætte frem",1
Gramrolighed  2,6000,"660 l. con, rest - sætte frem",2
Gramrolighed  3,6000,"2-delt 240 l. beh, rest/mad",1
Gramrolighed  5,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  5,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  7,6000,"2-delt 370 l. beh, r/m-sætte f",1
Gramrolighed  9,6000,"2-delt 240 l. beh, rest/mad",1
Gramrolighed  11,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  11,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  13,6000,"130 l. sæk, resta - sætte frem",1
Gramrolighed  13,6000,"90 l. sæk, mad - sætte frem",1
Gramrolighed  14,6000,"2-delt 240 l. beh, rest/mad",1
Grønnegade  3,6000,"2-delt 240 l. beh, r/m-sætte f",2
Grønnegade  5,6000,"240 l. beholder, mad, med lås",1
Grønnegade  5,6000,"660 l. con, rest, med lås",1
Grønnegade  7,6000,"2-delt 240 l. beh, rest/mad",2
Grønnegade  9,6000,"2-delt 240 l. beh, r/m-sætte f",4
Grønnegade  11,6000,"240 l. beh, mad - sætte frem",1
Grønnegade  11,6000,"400 l. con, rest - sætte frem",1
Grønnegade  11,6000,"660 l. con, rest - sætte frem",1
Grønnegade  13,6000,"2-delt 240 l. beh, rest/mad",2
Grønnegade  15,6000,"240 l. beh, mad - sætte frem",1
Grønnegade  15,6000,"660 l. con, rest - sætte frem",1
Gøhlmannsvej  46,6000,"2-delt 240 l. beh, r/m-sætte f",1
Gøhlmannsvej  48,6000,"2-delt 240 l. beh, rest/mad",1
Gøhlmannsvej  50,6000,"2-delt 240 l. beh, rest/mad",1
Gøhlmannsvej  52,6000,"2-delt 370 l. beh, rest/mad",1
Hjarupvej  6,6000,"240 l. beh, madaffald",1
Hjarupvej  6,6000,"660 l. con, restaffald",2
Høgesti  3,6000,"2-delt 240 l. beh, r/m-sætte f",1
Høgesti  5,6000,"2-delt 240 l. beh, rest/mad",1
Høgesti  7,6000,"2-delt 240 l. beh, r/m-sætte f",1
Jernbanegade  5,6000,"140 l beholder, mad - sætter f",1
Jernbanegade  5,6000,"2-delt 370 l. beh, r/m-sætte f",1
Jernbanegade  5,6000,"400 l. con, rest - sætte frem",2
Jernbanegade  19,6000,"140 l. beholder, mad",1
Jernbanegade  19,6000,"660 l. con, restaffald",1
Kikkenborgvej  14,6000,"130 l. sæk, resta - sætte frem",1
Kikkenborgvej  14,6000,"90 l. sæk, mad - sætte frem",1
Klostergade  16,6000,"400 l. con, madaffald",2
Klostergade  16,6000,"660 l. con, restaffald",6
Langelinie  1,6000,"2-delt 240 l. beh, r/m-sætte f",1
Langelinie  1,6000,"2-delt 240 l. beh, rest/mad",3
Langelinie  5,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  5,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  6,6000,"2-delt 240 l. beh, r/m-sætte f",1
Langelinie  7,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  7,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  8,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  8,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  9,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  9,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  11,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  11,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  12,6000,"2-delt 240 l. beh, rest/mad",1
Langelinie  13,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  13,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  14,6000,"2-delt 240 l. beh, rest/mad",1
Langelinie  15,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  15,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  17,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  17,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  19,6000,"2-delt 240 l. beh, r/m-sætte f",1
Langelinie  21,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  21,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  23,6000,"130 l. sæk, resta - sætte frem",1
Langelinie  23,6000,"90 l. sæk, mad - sætte frem",1
Langelinie  24,6000,"400 l. con, madaffald",1
Langelinie  24,6000,"660 l. con, restaffald",2
Munkensdam  9,6000,"2-delt 370 l. beh, r/m-sætte f",1
Ndr. Ringvej  79,6000,"2-delt 240 l. beh, rest/mad",1
Rosengade  9,6000,"2-delt 240 l. beh, r/m-sætte f",1
Rosengade  13,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  14,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  15,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  16,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  17,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  18,6000,"2-delt 370 l. beh, r/m-sætte f",1
Rosengade  20,6000,"2-delt 370 l. beh, rest/mad",1
Rosengade  22,6000,"2-delt 240 l. beh, r/m-sætte f",1
Solvej  2,6000,"2-delt 240 l. beh, rest/mad",1
Solvej  2,6000,"2-delt 370 l. beh, rest/mad",1
Sportsvej  2,6000,"2-delt 370 l. beh, rest/mad",1
Sportsvej  4,6000,"130 l. sæk, resta - sætte frem",1
Sportsvej  4,6000,"90 l. sæk, mad - sætte frem",1
Sportsvej  6,6000,"2-delt 240 l. beh, rest/mad",1
Sportsvej  8,6000,"2-delt 240 l. beh, rest/mad",1
Stallerup Sø  29,6000,"2-delt 240 l. beh, rest/mad",1
Søndergade  1,6000,"140 l. beholder, mad",1
Søndergade  1,6000,"660 l. con, restaffald",1
Terlings Alle  5,6000,"2-delt 240 l. beh, rest/mad",1
Ternevej  1,6000,"2-delt 240 l. beh, rest/mad",1
Ternevej  2,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ternevej  3,6000,"2-delt 240 l. beh, rest/mad",1
Ternevej  4,6000,"2-delt 240 l. beh, r/m-sætte f",1
Trompeterbakken  1,6000,"2-delt 370 l. beh, rest/mad",1
Trompeterbakken  2,6000,"2-delt 370 l. beh, rest/mad",1
Trompeterbakken  3,6000,"2-delt 370 l. beh, r/m-sætte f",1
Trompeterbakken  5,6000,"2-delt 240 l. beh, r/m-sætte f",1
Trompeterbakken  6,6000,"2-delt 240 l. beh, r/m-sætte f",1
Trompeterbakken  7,6000,"2-delt 240 l. beh, rest/mad",1
Trompeterbakken  8,6000,"2-delt 240 l. beh, r/m-sætte f",1
Trompeterbakken  9,6000,"2-delt 240 l. beh, rest/mad",1
Trompeterbakken  10,6000,"2-delt 240 l. beh, rest/mad",1
Trompeterbakken  11,6000,"2-delt 370 l. beh, r/m-sætte f",1
Trompeterbakken  12,6000,"2-delt 240 l. beh, rest/mad",1
Trompeterbakken  13,6000,"2-delt 240 l. beh, r/m-sætte f",1
Trompeterbakken  15,6000,"2-delt 240 l. beh, rest/mad",1
Trompeterbakken  17,6000,"2-delt 240 l. beh, rest/mad",1
Vandværksvej  2,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vandværksvej  3,6000,"2-delt 370 l. beh, r/m-sætte f",1
Vandværksvej  4,6000,"2-delt 370 l. beh, r/m-sætte f",1
Vandværksvej  5,6000,"2-delt 240 l. beh, rest/mad",1
Vandværksvej  6,6000,"2-delt 240 l. beh, rest/mad",1
Vandværksvej  9,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vandværksvej  11,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vandværksvej  15,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vandværksvej  16,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vandværksvej  17,6000,"2-delt 370 l. beh, rest/mad",1
Ved Kysten  1,6094,"2-delt 240 l. beh, rest/mad",1
Ved Kysten  2,6094,"2-delt 240 l. beh, r/m-sætte f",1
Ved Kysten  4,6094,"2-delt 240 l. beh, rest/mad",1
Ved Kysten  5,6094,"2-delt 240 l. beh, r/m-sætte f",1
Vejrupsgade  2,6000,"140 l. beholder, mad, med lås",1
Vejrupsgade  2,6000,"660 l. con, rest, med lås",1
Vejrupsgade  4,6000,"2-delt 240 l. beh, rest/mad",1
Vejrupsgade  6,6000,"2-delt 240 l. beh, r/m-sætte f",1
Vejrupsgade  8,6000,"2-delt 370 l. beh, rest/mad",1
Vejrupsgade  10,6000,"2-delt 240 l. beh, rest/mad",1
Vejrupsgade  14,6000,"400 l. con, madaffald",1
Vejrupsgade  14,6000,"660 l. con, restaffald",2
Vejrupsgade  16,6000,"2-delt 240 l. beh, r/m-sætte f",3
Vejrupsgade  18,6000,"2-delt 240 l. beh, rest/mad",1
Vejrupsgade  20,6000,"2-delt 370 l. beh, rest/mad",1
Vejrupsgade  24,6000,"240 l. beholder, mad, med lås",1
Vejrupsgade  24,6000,"660 l. con, rest, med lås",1
Vejrupsgade  28,6000,"240 l. beholder, mad, med lås",1
Vejrupsgade  28,6000,"660 l. con, rest, med lås",1
Vejrupsgade  30,6000,"2-delt 370 beh, rest/mad, lås",1
Warmingsgade  18,6000,"2-delt 240 l. beh, r/m-sætte f",1
Warmingsgade  20,6000,"2-delt 370 beh, r/m, lås-SF",1
Warmingsgade  26,6000,"2-delt 370 l. beh, r/m-sætte f",1
Æblehaven  16,6000,"2-delt 240 l. beh, r/m-sætte f",1
Æblehaven  18,6000,"2-delt 240 l. beh, rest/mad",1
Æblehaven  20,6000,"2-delt 240 l. beh, r/m-sætte f",1
Æblehaven  22,6000,"2-delt 240 l. beh, r/m-sætte f",1
Æblehaven  24,6000,"2-delt 370 l. beh, r/m-sætte f",1
Æblehaven  26,6000,"2-delt 240 l. beh, rest/mad",1
Æblehaven  28,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ægirsvej  3,6000,"2-delt 240 l. beh, r/m-sætte f",1
Ægirsvej  8,6000,"2-delt 240 l. beh, rest/mad",1
